tracepoint,event_type,event_id,core_ts_us,ipc_worker_ts_us,ipc_latency_us,params
utxocache:add,utxocache_add,a384d012e83acb3f7e86be2322ee6b56d01e4706410fc908409a078e92f002ce:0,237080652216,160700333923,-76380318293,"{""type"":""utxocache_add"",""txid"":""a384d012e83acb3f7e86be2322ee6b56d01e4706410fc908409a078e92f002ce"",""vout"":0,""height"":168,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080652216}"
utxocache:add,utxocache_add,a384d012e83acb3f7e86be2322ee6b56d01e4706410fc908409a078e92f002ce:0,237080652373,160700334061,-76380318312,"{""type"":""utxocache_add"",""txid"":""a384d012e83acb3f7e86be2322ee6b56d01e4706410fc908409a078e92f002ce"",""vout"":0,""height"":168,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080652373}"
validation:block_connected,block_connected,5819fbf9086baff0da35fa805c7148518ec1691d205cbcb6bc798596beb2017e,237080652454,160700334147,-76380318307,"{""type"":""block_connected"",""hash"":""5819fbf9086baff0da35fa805c7148518ec1691d205cbcb6bc798596beb2017e"",""height"":168,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":83625,""timestamp_us"":237080652454}"
(internal BlockChecked),block_validated,5819fbf9086baff0da35fa805c7148518ec1691d205cbcb6bc798596beb2017e,237080652457,160700334191,-76380318266,"{""type"":""block_validated"",""hash"":""5819fbf9086baff0da35fa805c7148518ec1691d205cbcb6bc798596beb2017e"",""height"":-1,""tx_count"":1,""received_us"":237080652457,""validated_us"":237080652457,""accepted"":true}"
utxocache:add,utxocache_add,17038ab356b41b934d374a728258945fb4abe290c6d65ea77b1c1c29716cc8e5:0,237080652581,160700334263,-76380318318,"{""type"":""utxocache_add"",""txid"":""17038ab356b41b934d374a728258945fb4abe290c6d65ea77b1c1c29716cc8e5"",""vout"":0,""height"":169,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080652581}"
utxocache:add,utxocache_add,17038ab356b41b934d374a728258945fb4abe290c6d65ea77b1c1c29716cc8e5:0,237080654982,160700336678,-76380318304,"{""type"":""utxocache_add"",""txid"":""17038ab356b41b934d374a728258945fb4abe290c6d65ea77b1c1c29716cc8e5"",""vout"":0,""height"":169,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080654982}"
validation:block_connected,block_connected,52dd2642be56067c60d3f51eb533f90652a556cc1840bf46e05685e8397ab2b9,237080655262,160700336950,-76380318312,"{""type"":""block_connected"",""hash"":""52dd2642be56067c60d3f51eb533f90652a556cc1840bf46e05685e8397ab2b9"",""height"":169,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":283917,""timestamp_us"":237080655262}"
(internal BlockChecked),block_validated,52dd2642be56067c60d3f51eb533f90652a556cc1840bf46e05685e8397ab2b9,237080655265,160700336972,-76380318293,"{""type"":""block_validated"",""hash"":""52dd2642be56067c60d3f51eb533f90652a556cc1840bf46e05685e8397ab2b9"",""height"":-1,""tx_count"":1,""received_us"":237080655265,""validated_us"":237080655265,""accepted"":true}"
utxocache:add,utxocache_add,f637883c5452be2d9a5078e2882d950c79478efa8df4055f3e0d0dd679ad717b:0,237080655370,160700337055,-76380318315,"{""type"":""utxocache_add"",""txid"":""f637883c5452be2d9a5078e2882d950c79478efa8df4055f3e0d0dd679ad717b"",""vout"":0,""height"":170,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080655370}"
utxocache:add,utxocache_add,f637883c5452be2d9a5078e2882d950c79478efa8df4055f3e0d0dd679ad717b:0,237080655489,160700337171,-76380318318,"{""type"":""utxocache_add"",""txid"":""f637883c5452be2d9a5078e2882d950c79478efa8df4055f3e0d0dd679ad717b"",""vout"":0,""height"":170,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080655489}"
validation:block_connected,block_connected,723aa1c7bed50c7e05c186bafbdcaea5355cc86f2daf9e3a89d509cfdd25f8b6,237080655560,160700337244,-76380318316,"{""type"":""block_connected"",""hash"":""723aa1c7bed50c7e05c186bafbdcaea5355cc86f2daf9e3a89d509cfdd25f8b6"",""height"":170,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":73583,""timestamp_us"":237080655560}"
(internal BlockChecked),block_validated,723aa1c7bed50c7e05c186bafbdcaea5355cc86f2daf9e3a89d509cfdd25f8b6,237080655566,160700337267,-76380318299,"{""type"":""block_validated"",""hash"":""723aa1c7bed50c7e05c186bafbdcaea5355cc86f2daf9e3a89d509cfdd25f8b6"",""height"":-1,""tx_count"":1,""received_us"":237080655566,""validated_us"":237080655566,""accepted"":true}"
